FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat
MR013,P. blochii,2012-07-15T00:00:00Z,3,213,192,184,F,4,9.9,0
MR014,P. blochii,2012-07-15T00:00:00Z,3,212,196,187,F,4,9.1,2
MR015,P. blochii,2012-07-15T00:00:00Z,3,205,194,173,F,4,9.4,1
MR016,P. blochii,2012-07-15T00:00:00Z,3,247,227,320,F,3,21,0
MR017,P. blochii,2012-07-15T00:00:00Z,3,256,240,387,F,4,35,1
MR022,P. blochii,2013-07-01T00:00:00Z,3,211,198,204,F,3,12,2
MR023,P. blochii,2012-06-01T00:00:00Z,2,250,221,327,F,4,28.5,0
MR024,P. blochii,2012-06-01T00:00:00Z,2,209,190,183,F,4,9.8000000000000007,0
MR025,P. blochii,2012-07-18T00:00:00Z,3,257,232,293,F,5,10.3,0
MR026,P. blochii,2012-07-18T00:00:00Z,3,215,198,187,F,4,4.2,0
MR027,P. blochii,2012-06-24T00:00:00Z,2,291,262,556,F,4,30.3,2
MR028,P. blochii,2012-06-24T00:00:00Z,2,246,223,309,F,5,24.6,0
MR029,P. blochii,2012-06-24T00:00:00Z,2,232,210,257,F,6,23.1,1
MR030,P. blochii,2012-07-29T00:00:00Z,3,220,195,217,F,6,14.5,0
MR031,P. blochii,2012-07-29T00:00:00Z,3,221,198,219,F,5,15.4,0
MR032,P. blochii,2012-07-29T00:00:00Z,3,215,195,218,F,6,18.100000000000001,0
MR033,P. blochii,2012-07-29T00:00:00Z,3,240,220,286,M,6,21.2,0
MR034,P. blochii,2012-07-18T00:00:00Z,3,249,226,284,M,2,0.6,0
MR035,P. blochii,2012-07-18T00:00:00Z,3,258,237,348,F,4,19.3,0
MR036,P. blochii,2012-07-18T00:00:00Z,3,273,249,408,F,3,15,1
MR037,P. blochii,2016-03-19T00:00:00Z,1,244,220,320,F,5,17.2,1
MR038,P. blochii,2012-07-15T00:00:00Z,3,205,185,182,F,2,5.4,1
MR039,P. blochii,2012-04-18T00:00:00Z,2,215,200,198,F,4,11.3,0
MR040,P. blochii,2012-04-18T00:00:00Z,2,210,190,202,F,5,19.399999999999999,0
MR045,P. blochii,2012-07-29T00:00:00Z,3,226,204,223,M,3,1.1000000000000001,0
